Subject M14, Block B2: 

Utterance 	 Begin 	 End 
--------- 	 ----- 	 --- 
M14_B2_D3  	 232 	 322
M14_B2_D9  	 322 	 386
M14_B2_D0  	 386 	 451
M14_B2_D6  	 451 	 516
M14_B2_D7  	 516 	 582
M14_B2_D8  	 582 	 644
M14_B2_D4  	 644 	 715
M14_B2_D5  	 715 	 778
M14_B2_D1  	 778 	 842
M14_B2_D2  	 842 	 899
M14_B2_LE  	 977 	 1041
M14_B2_LD  	 1041 	 1097
M14_B2_LW  	 1097 	 1158
M14_B2_LK  	 1158 	 1222
M14_B2_LS  	 1222 	 1288
M14_B2_LT  	 1288 	 1353
M14_B2_LU  	 1353 	 1421
M14_B2_LX  	 1421 	 1487
M14_B2_LJ  	 1487 	 1558
M14_B2_LC  	 1558 	 1629
M14_B2_LQ  	 1629 	 1697
M14_B2_LP  	 1697 	 1766
M14_B2_LZ  	 1766 	 1836
M14_B2_LR  	 1836 	 1905
M14_B2_LF  	 1905 	 1977
M14_B2_LI  	 1977 	 2037
M14_B2_LL  	 2037 	 2103
M14_B2_LV  	 2103 	 2166
M14_B2_LY  	 2166 	 2232
M14_B2_LG  	 2232 	 2297
M14_B2_LH  	 2297 	 2357
M14_B2_LN  	 2357 	 2426
M14_B2_LB  	 2426 	 2487
M14_B2_LO  	 2487 	 2556
M14_B2_LA  	 2556 	 2616
M14_B2_LM  	 2616 	 2673
M14_B2_C1  	 2761 	 2820
M14_B2_C2  	 2820 	 2881
M14_B2_C3  	 2881 	 2941
M14_B2_C4  	 2941 	 3000
M14_B2_C5  	 3000 	 3059
M14_B2_C6  	 3059 	 3117
M14_B2_C7  	 3117 	 3179
M14_B2_C8  	 3179 	 3242
M14_B2_C9  	 3242 	 3309
M14_B2_C10  	 3309 	 3372
M14_B2_C11  	 3372 	 3439
M14_B2_C12  	 3439 	 3503
M14_B2_C13  	 3503 	 3567
M14_B2_C14  	 3567 	 3629
M14_B2_C15  	 3629 	 3691
M14_B2_C16  	 3691 	 3759
M14_B2_C17  	 3759 	 3825
M14_B2_C18  	 3825 	 3889
M14_B2_C19  	 3889 	 3939
M14_B2_CW1  	 4143 	 4205
M14_B2_CW2  	 4205 	 4264
M14_B2_CW3  	 4264 	 4313
M14_B2_CW4  	 4313 	 4368
M14_B2_CW5  	 4368 	 4426
M14_B2_CW6  	 4426 	 4486
M14_B2_CW7  	 4486 	 4545
M14_B2_CW8  	 4545 	 4601
M14_B2_CW9  	 4601 	 4661
M14_B2_CW10  	 4661 	 4723
M14_B2_CW11  	 4723 	 4786
M14_B2_CW12  	 4786 	 4851
M14_B2_CW13  	 4851 	 4913
M14_B2_CW14  	 4913 	 4967
M14_B2_CW15  	 4967 	 5030
M14_B2_CW16  	 5030 	 5092
M14_B2_CW17  	 5092 	 5161
M14_B2_CW18  	 5161 	 5221
M14_B2_CW19  	 5221 	 5286
M14_B2_CW20  	 5286 	 5347
M14_B2_CW21  	 5347 	 5416
M14_B2_CW22  	 5416 	 5486
M14_B2_CW23  	 5486 	 5550
M14_B2_CW24  	 5550 	 5617
M14_B2_CW25  	 5617 	 5685
M14_B2_CW26  	 5685 	 5748
M14_B2_CW27  	 5748 	 5814
M14_B2_CW28  	 5814 	 5876
M14_B2_CW29  	 5876 	 5949
M14_B2_CW30  	 5949 	 6016
M14_B2_CW31  	 6016 	 6085
M14_B2_CW32  	 6085 	 6153
M14_B2_CW33  	 6153 	 6219
M14_B2_CW34  	 6219 	 6289
M14_B2_CW35  	 6289 	 6350
M14_B2_CW36  	 6350 	 6414
M14_B2_CW37  	 6730 	 6797
M14_B2_CW38  	 6797 	 6857
M14_B2_CW39  	 6857 	 6919
M14_B2_CW40  	 6919 	 6985
M14_B2_CW41  	 6985 	 7045
M14_B2_CW42  	 7045 	 7105
M14_B2_CW43  	 7105 	 7164
M14_B2_CW44  	 7164 	 7230
M14_B2_CW45  	 7230 	 7299
M14_B2_CW46  	 7299 	 7359
M14_B2_CW47  	 7359 	 7422
M14_B2_CW48  	 7422 	 7487
M14_B2_CW49  	 7487 	 7551
M14_B2_CW50  	 7551 	 7610
M14_B2_CW51  	 7610 	 7669
M14_B2_CW52  	 7669 	 7733
M14_B2_CW53  	 7733 	 7794
M14_B2_CW54  	 7794 	 7861
M14_B2_CW55  	 7861 	 7927
M14_B2_CW56  	 7927 	 7991
M14_B2_CW57  	 7991 	 8057
M14_B2_CW58  	 8057 	 8121
M14_B2_CW59  	 8121 	 8188
M14_B2_CW60  	 8188 	 8256
M14_B2_CW61  	 8256 	 8321
M14_B2_CW62  	 8321 	 8388
M14_B2_CW63  	 8388 	 8460
M14_B2_CW64  	 8460 	 8525
M14_B2_CW65  	 8525 	 8593
M14_B2_CW66  	 8593 	 8662
M14_B2_CW67  	 8662 	 8736
M14_B2_CW68  	 8736 	 8805
M14_B2_CW69  	 8805 	 8865
M14_B2_CW70  	 8865 	 8941
M14_B2_CW71  	 8941 	 9007
M14_B2_CW72  	 9007 	 9068
M14_B2_CW73  	 9068 	 9130
M14_B2_CW74  	 9130 	 9191
M14_B2_CW75  	 9191 	 9257
M14_B2_CW76  	 9257 	 9316
M14_B2_CW77  	 9316 	 9382
M14_B2_CW78  	 9382 	 9441
M14_B2_CW79  	 9441 	 9502
M14_B2_CW80  	 9502 	 9561
M14_B2_CW81  	 9561 	 9629
M14_B2_CW82  	 9629 	 9689
M14_B2_CW83  	 9689 	 9756
M14_B2_CW84  	 9756 	 9827
M14_B2_CW85  	 9827 	 9895
M14_B2_CW86  	 9895 	 9959
M14_B2_CW87  	 9959 	 10014
M14_B2_CW88  	 10014 	 10079
M14_B2_CW89  	 10079 	 10143
M14_B2_CW90  	 10143 	 10207
M14_B2_CW91  	 10207 	 10274
M14_B2_CW92  	 10274 	 10333
M14_B2_CW93  	 10333 	 10398
M14_B2_CW94  	 10398 	 10466
M14_B2_CW95  	 10466 	 10534
M14_B2_CW96  	 10534 	 10593
M14_B2_CW97  	 10593 	 10655
M14_B2_CW98  	 10655 	 10711
M14_B2_CW99  	 10711 	 10779
M14_B2_CW100  	 10779 	 10843
M14_B2_UW1  	11769	11835
M14_B2_UW2  	11835	11906
M14_B2_UW3  	11906	11981
M14_B2_UW4  	11981	12063
M14_B2_UW5  	12063	12143
M14_B2_UW6  	12143	12207
M14_B2_UW7  	12207	12280
M14_B2_UW8  	12280	12360
M14_B2_UW9  	12360	12435
M14_B2_UW10  	12435	12505
M14_B2_UW11  	12505	12578
M14_B2_UW12  	12578	12652
M14_B2_UW13  	12652	12724
M14_B2_UW14  	12724	12792
M14_B2_UW15  	12876	13193
M14_B2_UW16  	13193	13275
M14_B2_UW17  	13275	13355
M14_B2_UW18  	13355	13738
M14_B2_UW19  	13886	14005
M14_B2_UW20  	14005	14090
M14_B2_UW21  	14090	14185
M14_B2_UW22  	14185	14263
M14_B2_UW23  	14333	14555
M14_B2_UW24  	14555	14659
M14_B2_UW25  	14659	14749
M14_B2_UW26  	14749	14833
M14_B2_UW27  	14833	14916
M14_B2_UW28  	14916	14993
M14_B2_UW29  	14993	15062
M14_B2_UW30  	15153	15507
M14_B2_UW31  	15507	15588
M14_B2_UW32  	15588	15988
M14_B2_UW33  	16126	16291
M14_B2_UW34  	16291	16374
M14_B2_UW35  	16374	16458
M14_B2_UW36  	16458	16560
M14_B2_UW37  	16560	16644
M14_B2_UW38  	16644	16716
M14_B2_UW39  	16716	16789
M14_B2_UW40  	16789	16866
M14_B2_UW41  	16866	16944
M14_B2_UW42  	16944	17025
M14_B2_UW43  	17025	17098
M14_B2_UW44  	17098	17162
M14_B2_UW45  	17162	17255
M14_B2_UW46  	17255	17342
M14_B2_UW47  	17342	17422
M14_B2_UW48  	17422	17501
M14_B2_UW49  	17501	17582
M14_B2_UW50  	17582	17667
M14_B2_UW51  	17667	17752
M14_B2_UW52  	17752	17827
M14_B2_UW53  	17827	17901
M14_B2_UW54  	17901	18004
M14_B2_UW55  	18004	18067
M14_B2_UW56  	18067	18138
M14_B2_UW57  	18138	18208
M14_B2_UW58  	18356	18613
M14_B2_UW59  	18613	18682
M14_B2_UW60  	18682	18757
M14_B2_UW61  	18757	18830
M14_B2_UW62  	18830	18917
M14_B2_UW63  	18917	19020
M14_B2_UW64  	19020	19081
M14_B2_UW65  	19081	19154
M14_B2_UW66  	19154	19228
M14_B2_UW67  	19228	19296
M14_B2_UW68  	19296	19373
M14_B2_UW69  	19373	19445
M14_B2_UW70  	19445	19520
M14_B2_UW71  	19593	19825
M14_B2_UW72  	19825	19903
M14_B2_UW73  	19903	19972
M14_B2_UW74  	19972	20058
M14_B2_UW75  	20058	20133
M14_B2_UW76  	20133	20212
M14_B2_UW77  	20212	20293
M14_B2_UW78  	20293	20355
M14_B2_UW79  	20355	20433
M14_B2_UW80  	20433	20517
M14_B2_UW81  	20517	20597
M14_B2_UW82  	20597	20661
M14_B2_UW83  	20661	20725
M14_B2_UW84  	20725	20791
M14_B2_UW85  	20791	20858
M14_B2_UW86  	20858	20924
M14_B2_UW87  	20924	20985
M14_B2_UW88  	20985	21047
M14_B2_UW89  	21047	21116
M14_B2_UW90  	21116	21180
M14_B2_UW91  	21180	21252
M14_B2_UW92  	21252	21320
M14_B2_UW93  	21320	21393
M14_B2_UW94  	21393	21464
M14_B2_UW95  	21464	21530
M14_B2_UW96  	21600	21750
M14_B2_UW97  	21750	21829
M14_B2_UW98  	21897	22104
M14_B2_UW99  	22104	22170
M14_B2_UW100  	22170	22219
